link,white,black,white_titled,black_titled,white_elo,black_elo,result,white_rating_diff,black_rating_diff,time_control,termination,eco,opening,moves_uci,num_moves
https://lichess.org/SVd8eyTK,Kinga_2602,tunoperu,,,2046,2101,0-1,-5,+5,600+0,Time forfeit,B03,"Alekhine Defense: Four Pawns Attack, Trifunovic Variation",e2e4 g8f6 e4e5 f6d5 d2d4 d7d6 c2c4 d5b6 f2f4 c8f5 f1d3 f5d3 d1d3 e7e6 g1f3 b8c6 e1g1 f8e7 b1c3 e8g8 a2a3 c6a5 f3d2 d6d5 c4c5 b6c4 b2b4 c4d2 c1d2 a5c4 f4f5 e6f5 f1f5 c7c6 a1f1 b7b6 d2c1 a7a5 d3g3 a5b4 c1h6 g7g6 h6f8 d8f8 e5e6 f7f6 a3b4 g8h8 f5f3 c4d2 c5b6 d2f1 f3f1 e7b4 b6b7 a8e8 f1f6 f8f6 b7b8q e8b8 g3b8 f6f8 b8e5 h8g8 c3d1 b4d6 e5e2 f8f6 e2e3 g8g7 d1f2 f6f4 e3f4 d6f4 f2d3 f4e3 g1f1 e3d4 f1e2 g7f6 e2f3 f6e6 h2h4 d4f6 d3f4 e6f5 h4h5 g6g5,88
https://lichess.org/pdlJtWXn,Pradigintungkbpl,brisachess1,,,2120,2081,1-0,+5,-5,600+0,Normal,A00,Polish Opening: Outflank Variation,b2b4 c7c6 c1b2 d7d5 e2e3 g8f6 g1f3 c8g4 f1e2 e7e6 a2a3 b8d7 e1g1 f8d6 d2d3 d8c7 b1d2 e8g8 h2h3 g4h5 c2c4 a8c8 a1c1 h5f3 d2f3 d7e5 c4d5 e5f3 e2f3 e6d5 b2f6 g7f6 f3d5 d6h2 g1h1 c7d6 d5e4 h2e5 d1h5 f6f5 h5f5 f8e8 f5h7 g8f8 e4f5 c8d8 d3d4 e5g7 h7h5 d6h6 h5f3 h6f6 f5g4 f6f3 g4f3 f7f5 f3h5 e8e6 c1c5 f5f4 c5f5 e6f6 f5f6 g7f6 g2g3 f4e3 f2e3 f8g7 h1g2 f6g5 f1f3 d8d7 h3h4 g5h6 g3g4 g7h7 g4g5 h6g7 f3f7 d7f7 h5f7 g7f8 g2f3 a7a5 f3g4 a5b4 a3b4 f8b4 g4f5 h7g7 f7c4 b4d2 e3e4 b7b5 c4b3 d2c3 d4d5 c6d5 e4d5 c3e1 h4h5 b5b4 h5h6 g7h7 d5d6 e1g3 d6d7 g3c7 f5f6 c7d8 f6f5 d8e7 b3c2 e7d8 f5e6 h7h8 g5g6 h8g8 c2b3 g8h8 e6f7 d8g5 g6g7,123
https://lichess.org/KUhNmo4h,No_Limitation,flandeluxe,,,2066,2076,0-1,-6,+6,600+0,Normal,A46,Indian Defense: Spielmann-Indian,d2d4 g8f6 g1f3 c7c5 d4c5 e7e6 c1f4 f8c5 e2e3 d7d5 c2c3 b8c6 b1d2 e8g8 h2h3 f8e8 f1e2 h7h6 e1g1 e6e5 f4g3 d8b6 d1b3 c5e3 b3b6 e3b6 e2b5 e5e4 f3d4 c6d4 c3d4 c8d7 b5e2 b6d4,34
https://lichess.org/kbDjhp9o,HIKARULSEN,Juniorsolorzano,,,2030,2015,0-1,-6,+50,600+0,Time forfeit,B30,Sicilian Defense: Old Sicilian,e2e4 c7c5 g1f3 b8c6 f1c4 d7d6 c2c3 g7g6 d2d4 c5d4 c3d4 f8g7 c1e3 g8f6 b1c3 e8g8 e1g1 c8g4 h2h3 g4f3 d1f3 e7e5 c3e2 a7a6 a1d1 d8c7 c4b3 a8d8 d1c1 c7e7 d4d5 c6b8 c1c3 d8c8 f1c1 c8c3 c1c3 e7d7 e3g5 f6e8 f3e3 f7f6 g5h6 g7h6 e3h6 e8g7 f2f4 f8c8 f4e5 f6e5 c3g3 c8f8 g3g4 d7e7 g4g3 b8d7 g3c3 d7c5 b3c2 e7f6 h6e3 g7h5 b2b4 c5d7 c3c7 f8f7 g1h2 h5f4 e2f4 e5f4 e3f3 d7e5 f3c3 g8g7 c2d1 h7h5 a2a4 g7h6 b4b5 a6b5 a4b5 g6g5 b5b6 g5g4 c7f7 f6f7 c3c7 g4g3 h2g1 h5h4 c7d6 e5g6 e4e5 f7e7 d6e7 g6e7 d5d6 e7c6 d1a4 c6e5 a4b3 e5c6 b3d5 c6d8 d6d7 h6g5 g1f1 g5f6 f1e2 f6e5 d5f3 e5d6 f3g4 d6e5 e2f3 d8f7 f3e2 f7d8 e2d3 d8c6 d3c4 e5d6 c4d3 c6e5 d3e4 e5d7 g4d7 d6d7 e4f4 d7c6 f4g4 c6b6 g4h4 b6c5 h4g3 b7b5 h3h4 b5b4 h4h5 c5c4 h5h6 b4b3 h6h7 b3b2 h7h8q b2b1q h8g8 c4c5 g8c8 c5d4 c8h8 d4c5 h8c8 c5d6 c8d8 d6e6 d8d4 b1b3 g3h4 b3b5 g2g4 e6f7 d4f4 f7g6,164
https://lichess.org/D0QgwH18,Dralsaadi,mohantaj,,,2092,2083,1-0,+6,-5,600+5,Normal,E11,Bogo-Indian Defense: Grünfeld Variation,d2d4 e7e6 c2c4 g8f6 g1f3 f8b4 b1d2 c7c5 a2a3 b4d2 c1d2 c5d4 f3d4 e8g8 d1c2 b8c6 d4f3 d7d5 e1c1 d5c4 d2c3 d8e7 f3g5 g7g6 h2h4 e6e5 h4h5 f6g4 g5h7 g8h7 h5g6 h7g8 g6g7 e7g5 c1b1 g5g7 f2f4 g4e3 c2d2 c8f5 b1a2 e3d1 d2d1 f8d8 d1e1 c6d4 e2e4 f5e6 f4f5 e6d7 f1c4 b7b5 c4d5 a8c8 e1h4 d7f5 e4f5 d8d5 f5f6 d4f5 h4e4 g7f6 e4d5 f5e3 d5d7 c8d8 d7h3 f6e6 h3e6 f7e6 c3e5 g8f7 h1h7 f7g6 h7a7 d8d2 e5f4 d2e2 f4e3 e2e3 a7b7 e3e5 a2b3 g6f5 b7g7 f5e4 b3b4 e4d3 g7b7 e5e2 b2b3 e2g2 b7b5 g2b2 b5e5 d3c2 e5e2 c2b1 e2e6 b1a2 e6e3 b2b1 e3e2 a2a1 a3a4,105
https://lichess.org/Lq3bGw6K,Eyadabbas1,SLEQ2025,,,2030,2038,0-1,-5,+5,600+0,Normal,A45,Queen's Pawn Game: Chigorin Variation,d2d4 d7d5 b1c3 g8f6 g1f3 c7c6 h2h3 c8f5 f3h2 h7h6 c1f4 e7e6 a2a3 f8d6 f4d6 d8d6 e2e3 b8d7 f1d3 f5d3 c2d3 e6e5 d4e5 d7e5 e3e4 d5d4 c3e2 e8g8 e1g1 c6c5 f2f4 e5d7 e4e5 d6c6 e5f6 d7f6 a1c1 c6d6 h2f3 f6d5 d1d2 d5e3 f1e1 f8e8 f3e5 f7f6 e5c4 d6e6 c4e3 e6e3 d2e3 e8e3 c1c5 e3d3 c5d5 a8e8 g1f2 d3d2 f2f3 d4d3 f4f5 e8e2 e1e2 d2e2 d5d3 e2b2 g2g4 a7a5 f3e4 b2e2 e4d5 e2b2 d5e6 b2e2 e6d7 g8f7 d3b3 e2d2 d7c7 b7b6 c7b6 a5a4 b3e3 g7g6 b6b5 d2d4 f5g6 f7g6 e3f3 d4e4 b5c5 g6g5 f3f5 g5g6 f5f3 g6g5 c5d5 e4e5 d5d4 e5e1 d4c3 e1e4 c3d3 e4e1 f3f5 g5g6 f5f4 e1h1 f4a4 h1h3 d3e4 g6g5 e4d5 h3g3 d5e6 g3g4 a4g4 g5g4 e6f6 h6h5 a3a4 h5h4 a4a5 h4h3 a5a6 h3h2 a6a7 h2h1q,128
https://lichess.org/1THuteyG,jacintoaquinorego,alegonzalez19,,,2046,2139,0-1,-9,+48,600+0,Normal,B06,Modern Defense,e2e4 g7g6 d2d4 f8g7 g1f3 d7d5 e4d5 d8d5 c2c4 d5d8 f1e2 g8f6 e1g1 e8g8 h2h3 c8f5 b2b3 c7c5 d4c5 d8d1 f1d1 f6e4 f3d4 b8c6 c1b2 f8d8 f2f3 e4c5,28
https://lichess.org/XpiCE9TS,Arut94,taufikhidayatullah,,,2070,2067,1-0,+5,-6,600+0,Normal,C01,French Defense: Exchange Variation,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 g1f3 g8f6 f1e2 f8d6 e1g1 e8g8 c2c4 d5c4 e2c4 c8g4 h2h3 g4h5 b1c3 b8d7 c1g5 c7c6 c3e4 f8e8 e4d6 e8e7 g2g4 h5g6 f1e1 e7e1 d1e1 d8c7 d6f5 a8e8 f5e7 g8f8 e7g6 h7g6 e1d2 f6e4 d2f4 f7f6 f4c7,43
https://lichess.org/nSdcf1Jd,ThePowerofthenew,abdoayman2460,,,2316,2318,1-0,+6,-10,600+5,Normal,D80,Grünfeld Defense: Stockholm Variation,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c1g5 f6e4 g5f4 e7e6 e2e3 f8g7 h2h4 c7c5 c4d5 e6d5 f1b5 b8c6 g1e2 e8g8 c3e4 d5e4 b5c6 b7c6 e1g1 d8h4 f4d6 f8d8 d6c5 c8g4 d1c2 a7a6 e2g3 g4f3 g2f3 e4f3 c2e4 h4f6 c5e7 f6e6 e7d8 e6h3 e4f3 a8d8 f3g2 h3e6 f1d1 d8d5 a1c1 h7h5 c1c5 d5d6 b2b3 e6g4 d1f1 h5h4 g3e4 g4h5 c5h5,59
https://lichess.org/fjiyF5yx,Imamatur,Benteng_Selak4u,,,2117,2111,1-0,+5,-10,600+0,Time forfeit,A31,"English Opening: Symmetrical Variation, Anti-Benoni Variation",d2d4 g8f6 c2c4 c7c5 g1f3 d7d6 e2e3 c8g4 d4c5 d8a5 c1d2 a5c5 b2b4 c5c7 h2h3 g4f3 d1f3 b8c6 b4b5 c6e5 f3d1 g7g6 b1a3 f8g7 a1c1 f6d7 f2f4 c7c5 f4e5 c5a3 e5d6 a3d6 d2b4 d7c5 d1d6 e7d6 f1e2 e8g8 e1g1 b7b6 e2f3 a8e8 b4c5 d6c5 c1e1 e8e5 f3d5 g7h6 e3e4 g8g7 g2g4 f7f5 e4f5 e5e1 f1e1 g6f5 e1e7 g7f6 e7h7 h6e3 g1g2 f5g4 h3g4 f6e5 h7a7 f8f4 a7e7 e5d4 g2g3 f4f6 a2a4 e3d2 e7e6 f6f8 e6b6,75
